"leadId","groupCode","taalkMarket","state","campaignId","campaignName","requestNo","status","inserted","updated","error"
"21054764","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"21055603","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"21056495","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"21056414","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20974282","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20974044","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20976511","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20968764","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20968854","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20969142","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20628768","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20633613","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20886949","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20935466","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20937031","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20936139","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20936832","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20937046","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20936889","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20937697","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20938711","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"20940407","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
