QueueName,QueueID,Extension,MemberCount,AgentEmail,AgentID,AgentName,AgentRoles,Markets,State,MarketType
GLOBE-SD,63020000000013771,,0,,,,,,Active,
GLOBE-TN,63020000000013787,,0,,,,,,Active,
GLOBE-TX,63020000000013803,,0,,,,,,Active,
GLOBE-UT,63020000000013819,,0,,,,,,Active,
GLOBE-VA,63020000000013835,,0,,,,,,Active,
GLOBE-VT,63020000000003053,,0,,,,,,Active,
GLOBE-WA,63020000000013851,,0,,,,,,Active,
GLOBE-WI,63020000000013883,,0,,,,,,Active,
GLOBE-WV,63020000000013867,,0,,,,,,Active,
GLOBE-WY,63020000000013899,,0,,,,,,Active,
missedcallparty,63020000000277479,,0,,,,,,Active,
PAVET-AK,63020000000033031,,0,,,,,,Active,
PAVET-AL,63020000000031019,,0,,,,,,Active,
PAVET-AR,63020000000033159,,0,,,,,,Active,
PAVET-AZ,63020000000033175,,0,,,,,,Active,
PAVET-CA,63020000000032095,,0,,,,,,Active,
PAVET-CO,63020000000032127,,0,,,,,,Active,
PAVET-CT,63020000000032143,,0,,,,,,Active,
PAVET-DC,63020000000041397,,0,,,,,,Active,
PAVET-DE,63020000000032159,,0,,,,,,Active,
PAVET-FL,63020000000032175,,0,,,,,,Active,
PAVET-GA,63020000000032191,,0,,,,,,Active,
PAVET-HI,63020000000032207,,0,,,,,,Active,
PAVET-IA,63020000000032269,,0,,,,,,Active,
PAVET-ID,63020000000032223,,0,,,,,,Active,
PAVET-IL,63020000000032237,,0,,,,,,Active,
PAVET-IN,63020000000032253,,0,,,,,,Active,
PAVET-KS,63020000000032285,,0,,,,,,Active,
PAVET-KY,63020000000032301,,0,,,,,,Active,
PAVET-LA,63020000000032317,,0,,,,,,Active,
PAVET-MA,63020000000032365,,0,,,,,,Active,
PAVET-MD,63020000000032349,,0,,,,,,Active,
PAVET-ME,63020000000032333,,0,,,,,,Active,
PAVET-MI,63020000000032381,,0,,,,,,Active,
PAVET-MN,63020000000032399,,0,,,,,,Active,
PAVET-MO,63020000000032431,,0,,,,,,Active,
PAVET-MS,63020000000032415,,0,,,,,,Active,
PAVET-MT,63020000000032447,,0,,,,,,Active,
PAVET-NC,63020000000032561,,0,,,,,,Active,
PAVET-ND,63020000000032577,,0,,,,,,Active,
PAVET-NE,63020000000032463,,0,,,,,,Active,
PAVET-NH,63020000000032495,,0,,,,,,Active,
PAVET-NJ,63020000000032511,,0,,,,,,Active,
PAVET-NM,63020000000032527,,0,,,,,,Active,
PAVET-NV,63020000000032479,,0,,,,,,Active,
PAVET-NY,63020000000032543,,0,,,,,,Active,
PAVET-OH,63020000000673571,,0,,,,,,Active,
PAVET-OK,63020000000032625,,0,,,,,,Active,
PAVET-OR,63020000000032641,,0,,,,,,Active,
PAVET-PA,63020000000032673,,0,,,,,,Active,
PAVET-SC,63020000000032705,,0,,,,,,Active,
PAVET-SD,63020000000032721,,0,,,,,,Active,
PAVET-TN,63020000000032737,,0,,,,,,Active,
PAVET-TX,63020000000682209,,0,,,,,,Active,
PAVET-UT,63020000000032769,,0,,,,,,Active,
PAVET-VA,63020000000032801,,0,,,,,,Active,
PAVET-VT,63020000000032785,,0,,,,,,Active,
PAVET-WA,63020000000032817,,0,,,,,,Active,
PAVET-WI,63020000000032849,,0,,,,,,Active,
PAVET-WV,63020000000032833,,0,,,,,,Active,
PAVET-WY,63020000000032865,,0,,,,,,Active,
WOMENS-AL,63020000000039619,,0,,,,,,Active,
WOMENS-AK,63020000000039635,,0,,,,,,Active,
WOMENS-AZ,63020000000039651,,0,,,,,,Active,
WOMENS-AR,63020000000039667,,0,,,,,,Active,
WOMENS-CA,63020000000039683,,0,,,,,,Active,
WOMENS-CO,63020000000039699,,0,,,,,,Active,
WOMENS-CT,63020000000039715,,0,,,,,,Active,
WOMENS-DC,63020000000056291,,0,,,,,,Active,
WOMENS-DE,63020000000039731,,0,,,,,,Active,
WOMENS-FL,63020000000039747,,0,,,,,,Active,
WOMENS-GA,63020000000039763,,0,,,,,,Active,
WOMENS-HI,63020000000039779,,0,,,,,,Active,
WOMENS-ID,63020000000039795,,0,,,,,,Active,
